"","HitId","HitTitle","Annotation","AssignmentId","Status","AcceptTime","SubmitTime","Answer.cond","Answer.label","Answer.sample","Answer.withinTarget","Answer.withinOther","Answer.acrossTarget","Answer.acrossOther","Answer.withinLabel","Answer.acrossLabel","Answer.Qsub1","Answer.Qcheck1","Answer.Qbasic1","Answer.Qsub2","Answer.Qbasic2","Answer.Qproper1","Answer.Qbasic3","Answer.Qproper2","Answer.Qcheck2","Answer.Qproper3","Answer.click1","Answer.click2","Answer.mainNum","Answer.question1","Answer.question2","Answer.question3","Answer.question4","Answer.target","Answer.dist","Answer.inst_line","workerids"
"1","38DCH97KHH289ZIE656V8IJGVD0JQH","Short word game",NA,"3IXEICO792JC04TTTSB3T3KLUEL6TZ","Approved","Tue Sep 22 20:47:56 PDT 2015","Tue Sep 22 20:49:14 PDT 2015",2,1,1,"""b""","""c""","""a""","""d""","""tupa""","""blicket""",1,0,0,1,0,1,0,1,0,1,"""correct""","""correct""",12,TRUE,TRUE,TRUE,TRUE,"[]","[]",7,"1"
"2","38DCH97KHH289ZIE656V8IJGVD0JQH","Short word game",NA,"3DEL4X4EL6LL05CJ4L7S1XPK6K1YX9","Approved","Tue Sep 22 20:47:56 PDT 2015","Tue Sep 22 20:50:05 PDT 2015",2,1,1,"""b""","""d""","""a""","""c""","""fep""","""wug""",1,0,0,1,0,1,0,1,0,1,"""correct""","""correct""",12,TRUE,TRUE,TRUE,TRUE,"[]","[]",7,"2"
"3","38DCH97KHH289ZIE656V8IJGVD0JQH","Short word game",NA,"3H7Z272LX77WRX3TZF8LDC1LV6OLPG","Approved","Tue Sep 22 20:48:25 PDT 2015","Tue Sep 22 20:50:28 PDT 2015",1,1,0,"""b""","""d""","""c""","""a""","""blicket""","""fep""",0,0,0,1,0,1,0,1,0,1,"""correct""","""correct""",12,TRUE,TRUE,TRUE,TRUE,"[]","[]",7,"3"
"4","38DCH97KHH289ZIE656V8IJGVD0JQH","Short word game",NA,"3PWWM24LHSY5KJI43SO5CU7M0WY28P","Approved","Tue Sep 22 20:48:46 PDT 2015","Tue Sep 22 20:50:31 PDT 2015",2,1,1,"""b""","""c""","""d""","""a""","""fep""","""tupa""",1,0,1,1,1,1,0,1,0,1,"""correct""","""correct""",12,TRUE,TRUE,TRUE,TRUE,"[]","[]",7,"4"
"5","38DCH97KHH289ZIE656V8IJGVD0JQH","Short word game",NA,"3WSELTNVR32DN65WJ5SF98M7QXATAB","Approved","Tue Sep 22 20:48:12 PDT 2015","Tue Sep 22 20:50:31 PDT 2015",1,1,0,"""a""","""b""","""c""","""d""","""wug""","""tupa""",1,0,0,0,0,1,0,1,0,1,"""correct""","""correct""",12,TRUE,TRUE,TRUE,TRUE,"[]","[]",7,"5"
"6","38DCH97KHH289ZIE656V8IJGVD0JQH","Short word game",NA,"388U7OUMF7146EUMNEQRKN9CTQ1R05","Approved","Tue Sep 22 20:48:26 PDT 2015","Tue Sep 22 20:50:31 PDT 2015",2,1,1,"""c""","""d""","""b""","""a""","""blicket""","""fep""",1,0,1,1,1,1,1,1,0,1,"""correct""","""correct""",12,TRUE,TRUE,TRUE,TRUE,"[]","[]",7,"6"
"7","38DCH97KHH289ZIE656V8IJGVD0JQH","Short word game",NA,"3JMSRU9HQIUVQBQX45UG690J8XPEV8","Approved","Tue Sep 22 20:49:11 PDT 2015","Tue Sep 22 20:50:44 PDT 2015",1,1,0,"""c""","""d""","""b""","""a""","""fep""","""tupa""",1,0,0,1,0,1,0,1,0,1,"""correct""","""correct""",12,TRUE,TRUE,TRUE,TRUE,"[]","[]",7,"7"
"8","38DCH97KHH289ZIE656V8IJGVD0JQH","Short word game",NA,"3UXUOQ9OKEXQP88P62PE4CUP10KA7H","Approved","Tue Sep 22 20:48:22 PDT 2015","Tue Sep 22 20:51:07 PDT 2015",2,1,1,"""a""","""d""","""b""","""c""","""fep""","""wug""",1,0,1,1,1,1,1,1,0,1,"""false""","""false""",12,TRUE,TRUE,TRUE,TRUE,"[]","[]",7,"8"
"9","38DCH97KHH289ZIE656V8IJGVD0JQH","Short word game",NA,"3KB8R4ZV1E7E1BOI5JT450ROILNGBK","Approved","Tue Sep 22 20:48:37 PDT 2015","Tue Sep 22 20:51:13 PDT 2015",2,1,1,"""a""","""b""","""c""","""d""","""fep""","""blicket""",1,1,1,1,1,1,1,1,0,1,"""correct""","""false""",12,TRUE,TRUE,TRUE,TRUE,"[]","[]",7,"9"
"10","38DCH97KHH289ZIE656V8IJGVD0JQH","Short word game",NA,"3I33IC7ZWF2J37BJ0Q8J8LDHQKY2AT","Approved","Tue Sep 22 20:49:11 PDT 2015","Tue Sep 22 20:51:13 PDT 2015",2,1,1,"""b""","""c""","""d""","""a""","""blicket""","""tupa""",1,0,0,1,0,1,0,1,0,1,"""correct""","""correct""",12,TRUE,TRUE,TRUE,TRUE,"[]","[]",7,"10"
